type,timestamp,price,gross_pnl,fee,net_pnl,capital_after
STOP,2018-10-02 16:00:00,6508.451076026528,-13.529713464868568,0.3350027099188341,-13.864716174787402,1313.6334726499338
ENTRY,2018-10-08 20:00:00,6675.011903,0.0,0.5793024918774965,-0.5793024918774965,1313.0541701580562
STOP,2018-10-09 12:00:00,6612.482205893386,-13.566870694989367,0.5738757435995007,-14.140746438588868,1298.9134237194673
ENTRY,2018-10-09 16:00:00,6658.486946999999,0.0,0.5285282222644238,-0.5285282222644238,1298.384895497203
STOP,2018-10-10 04:00:00,6591.053323344471,-13.381633663621761,0.523175568798975,-13.904809232420735,1284.4800862647821
ENTRY,2018-10-10 08:00:00,6593.9776,0.0,0.4640482170036239,-0.4640482170036239,1284.0160380477785
STOP,2018-10-11 00:00:00,6519.013094898572,-13.188983585141766,0.4587726235695672,-13.647756208711334,1270.368281839067
ENTRY,2018-10-15 04:00:00,6862.308075,0.0,0.16848158706456212,-0.16848158706456212,1270.1998002520024
STOP,2018-10-15 20:00:00,6653.3414735774995,-12.826232903843598,0.16335109390302466,-12.989583997746623,1257.2102162542558
ENTRY,2018-10-16 00:00:00,6732.9792879999995,0.0,0.11783717510628518,-0.11783717510628518,1257.0923790791494
EXIT,2018-10-17 16:00:00,6714.944912,-0.7890711643922931,0.11752154664052826,-0.9065927110328214,1256.1857863681166
ENTRY,2018-10-18 00:00:00,6763.288378,0.0,0.2739617979862998,-0.2739617979862998,1255.9118245701304
EXIT,2018-10-18 12:00:00,6702.88853,-6.1165700881560205,0.2715151699510374,-6.388085258107058,1249.5237393120233
ENTRY,2018-11-02 04:00:00,6427.12756,0.0,0.5112776770077448,-0.5112776770077448,1249.0124616350156
STOP,2018-11-03 08:00:00,6362.388627767714,-12.874947079658178,0.5061276981758817,-13.381074777834058,1235.6313868571815
ENTRY,2018-11-04 12:00:00,6481.933996999999,0.0,0.5690394520167603,-0.5690394520167603,1235.0623474051647
STOP,2018-11-09 08:00:00,6423.705949765185,-12.779386563423735,0.5639276973913909,-13.343314260815125,1221.7190331443496
ENTRY,2018-11-28 16:00:00,4333.469651,0.0,0.08044788283442365,-0.08044788283442365,1221.6385852615151
STOP,2018-11-30 08:00:00,4069.008225068986,-12.273861086469877,0.0755383383998357,-12.349399424869713,1209.2891858366454
ENTRY,2018-11-30 12:00:00,4028.588214,0.0,0.07169945296714016,-0.07169945296714016,1209.2174863836783
EXIT,2018-11-30 20:00:00,4040.1076040000003,0.5125455355829849,0.07190447118137334,0.44064106440161155,1209.65812744808
ENTRY,2018-12-02 00:00:00,4201.280006,0.0,0.10916760176096492,-0.10916760176096492,1209.5489598463191
STOP,2018-12-03 00:00:00,4013.8622716767713,-12.174828001419185,0.10429767056039724,-12.279125671979582,1197.2698341743396
ENTRY,2018-12-17 12:00:00,3422.42642,0.0,0.17598604397771853,-0.17598604397771853,1197.093848130362
EXIT,2018-12-25 04:00:00,3749.264883,42.01624890092446,0.1927925435380883,41.82345635738637,1238.9173044877484
ENTRY,2018-12-29 04:00:00,3859.4174780000003,0.0,0.15016302538436274,-0.15016302538436274,1238.767141462364
STOP,2018-12-29 20:00:00,3730.929648935172,-12.49807856200229,0.14516379395956183,-12.643242355961851,1226.1238991064022
ENTRY,2018-12-30 00:00:00,3712.663465,0.0,0.13733414283405984,-0.13733414283405984,1225.986564963568
EXIT,2019-01-05 04:00:00,3784.014455,6.598313545240467,0.13997346825215604,6.4583400769883115,1232.4449050405565
ENTRY,2019-01-05 16:00:00,3812.123294,0.0,0.24439272503859266,-0.24439272503859266,1232.200512315518
STOP,2019-01-10 04:00:00,3734.106297368943,-12.504046259469357,0.2393911065348049,-12.743437366004162,1219.4570749495138
ENTRY,2019-01-18 08:00:00,3600.089703,0.0,0.26924321504689386,-0.26924321504689386,1219.187831734467
STOP,2019-01-20 12:00:00,3533.8070998748144,-12.392844789555433,0.26428607713107166,-12.657130866686504,1206.5307008677805
ENTRY,2019-01-26 08:00:00,3591.006979,0.0,0.32294337101824444,-0.32294337101824444,1206.2077574967623
STOP,2019-01-27 08:00:00,3536.281133442014,-12.30389494483893,0.31802181304030885,-12.621916757879239,1193.585840738883
ENTRY,2019-02-08 16:00:00,3669.40049,0.0,0.25379970534875373,-0.25379970534875373,1193.3320410335343
STOP,2019-02-12 00:00:00,3599.293592174429,-12.122627428878138,0.24895065437720246,-12.37157808325534,1180.960462950279
ENTRY,2019-02-12 12:00:00,3621.1160090000003,0.0,0.3489662818937383,-0.3489662818937383,1180.6114966683851
STOP,2019-02-14 08:00:00,3571.0265224115865,-12.067786459534165,0.3441391673099246,-12.41192562684409,1168.199571041541
ENTRY,2019-02-17 04:00:00,3642.3423749999997,0.0,0.40360966309846413,-0.40360966309846413,1167.7959613784426
EXIT,2019-02-24 12:00:00,3777.5164050000003,37.44674380587432,0.41858836062081384,37.0281554452535,1204.8241168236962
ENTRY,2019-03-05 20:00:00,3858.887319,0.0,0.27646959143070216,-0.27646959143070216,1204.5476472322655
EXIT,2019-03-12 00:00:00,3833.539593,-4.540088159877529,0.27465355616675113,-4.81474171604428,1199.7329055162213
ENTRY,2019-03-16 00:00:00,3984.1648909999994,0.0,0.38599826719613545,-0.38599826719613545,1199.3469072490252
EXIT,2019-03-18 16:00:00,3977.9762490000003,-1.4989371384283547,0.38539869234076407,-1.884335830769119,1197.4625714182562
ENTRY,2019-03-18 20:00:00,3989.006343,0.0,0.40784357446461805,-0.40784357446461805,1197.0547278437916
STOP,2019-03-21 12:00:00,3940.9754812756714,-12.2769160073168,0.40293280806169135,-12.679848815378492,1184.374879028413
ENTRY,2019-03-21 16:00:00,3980.613826,0.0,0.28575283171593374,-0.28575283171593374,1184.0891261966972
EXIT,2019-03-22 04:00:00,3977.396423,-0.5774122146791489,0.2855218668300621,-0.862934081509211,1183.226192115188
ENTRY,2019-03-23 20:00:00,4007.211803,0.0,0.5031084695867691,-0.5031084695867691,1182.7230836456013
STOP,2019-03-24 20:00:00,3968.3238057448148,-12.206043594765532,0.4982260521488629,-12.704269646914396,1170.018813998687
ENTRY,2019-03-27 20:00:00,4039.261415,0.0,0.31546178391048496,-0.31546178391048496,1169.7033522147765
EXIT,2019-04-12 08:00:00,5039.847592,195.36164407459643,0.3936064415403235,194.9680376330561,1364.6713898478326
ENTRY,2019-04-18 12:00:00,5235.910302,0.0,0.31253471378169867,-0.31253471378169867,1364.358855134051
STOP,2019-04-25 20:00:00,5142.917320945115,-13.877020919645043,0.3069839054138407,-14.184004825058883,1350.174850308992
ENTRY,2019-05-02 04:00:00,5407.931893,0.0,0.4095232693450917,-0.4095232693450917,1349.765327039647
